train_task,test_task,diff
glass,mem,0.0007936507936508344
glass,motor,0.09188492063492062
glass,semantic,0.00327380952380952
mem,glass,-0.10183531746031745
mem,motor,-0.020178571428571417
mem,semantic,-0.006428571428571446
motor,glass,0.04848214285714287
motor,mem,-0.10098214285714284
motor,semantic,-0.03848214285714286
semantic,glass,-0.06832341269841272
semantic,mem,0.008839285714285685
semantic,motor,-0.021785714285714273
glass,mem,0.05613095238095238
glass,motor,-0.015376984126984124
glass,semantic,-0.13428571428571429
mem,glass,-0.01007936507936512
mem,motor,-0.13223214285714285
mem,semantic,0.05830357142857142
motor,glass,0.08835317460317463
motor,mem,-0.10633928571428568
motor,semantic,0.026696428571428604
semantic,glass,-0.049890873015873034
semantic,mem,-0.010892857142857187
semantic,motor,-0.020982142857142838
glass,mem,0.007490079365079392
glass,motor,-0.06733134920634923
glass,semantic,0.03023809523809523
mem,glass,-0.018918650793650783
mem,motor,0.002321428571428536
mem,semantic,0.054017857142857124
motor,glass,-0.03331349206349208
motor,mem,0.019464285714285677
motor,semantic,-0.0003571428571428416
semantic,glass,-0.00020833333333331632
semantic,mem,0.008303571428571426
semantic,motor,-0.030089285714285714
glass,mem,0.015347222222222224
glass,motor,-0.14020833333333332
glass,semantic,-0.016031746031746043
mem,glass,-0.002986111111111115
mem,motor,-0.012500000000000025
mem,semantic,-0.050267857142857156
motor,glass,-0.026408730158730152
motor,mem,0.055089285714285736
motor,semantic,0.07955357142857145
semantic,glass,-0.03500000000000002
semantic,mem,-0.07500000000000005
semantic,motor,-0.06223214285714281
glass,mem,-0.02464285714285713
glass,motor,-0.024831349206349194
glass,semantic,0.012371031746031718
mem,glass,-0.009563492063492064
mem,motor,-0.018839285714285676
mem,semantic,0.01919642857142859
motor,glass,-0.019702380952380978
motor,mem,-0.010803571428571416
motor,semantic,-0.015446428571428595
semantic,glass,0.09132936507936507
semantic,mem,0.012589285714285718
semantic,motor,0.017142857142857123
glass,mem,-0.08946428571428569
glass,motor,0.02196428571428572
glass,semantic,-0.03367063492063492
mem,glass,-0.0032936507936507306
mem,motor,-0.10285714285714288
mem,semantic,-0.013571428571428592
motor,glass,-0.021051587301587293
motor,mem,0.06866071428571428
motor,semantic,-0.05339285714285717
semantic,glass,-0.04739087301587302
semantic,mem,-0.00991071428571429
semantic,motor,0.00482142857142855
glass,mem,0.014791666666666684
glass,motor,0.05098214285714282
glass,semantic,-0.004295634920634894
mem,glass,-0.025863095238095258
mem,motor,0.057321428571428565
mem,semantic,0.058392857142857156
motor,glass,0.05365079365079361
motor,mem,-0.071875
motor,semantic,0.01660714285714289
semantic,glass,-0.08445436507936502
semantic,mem,0.029642857142857127
semantic,motor,-0.013928571428571443
glass,mem,0.06220238095238095
glass,motor,0.026696428571428562
glass,semantic,0.04741071428571429
mem,glass,-0.04472222222222222
mem,motor,-0.00026785714285713815
mem,semantic,0.15982142857142861
motor,glass,0.08276785714285716
motor,mem,0.031339285714285736
motor,semantic,-0.05446428571428576
semantic,glass,-0.031061507936507922
semantic,mem,-0.05883928571428571
semantic,motor,-0.04080357142857142
glass,mem,-0.014642857142857133
glass,motor,-0.005277777777777785
glass,semantic,-0.0030059523809523514
mem,glass,-0.022668650793650772
mem,motor,-0.06374999999999997
mem,semantic,0.060624999999999936
motor,glass,0.014573412698412697
motor,mem,0.04223214285714282
motor,semantic,0.05089285714285718
semantic,glass,0.018769841269841273
semantic,mem,0.14625000000000002
semantic,motor,-0.033750000000000016
glass,mem,-0.0076388888888888834
glass,motor,-0.03202380952380954
glass,semantic,-0.06415674603174608
