train_task,test_task,diff
motor,mixed,-0.0075
mem,mixed,-0.021875
mem,motor,0.015624999999999986
mixed,mem,0.058125000000000024
mixed,motor,0.0074999999999999754
motor,mem,-0.035625
motor,mixed,0.03437500000000003
mem,mixed,-0.018124999999999974
mem,motor,-0.013750000000000005
mixed,mem,-0.05374999999999999
mixed,motor,-0.001875000000000026
motor,mem,0.10375000000000001
motor,mixed,0.02187500000000006
mem,mixed,0.04562500000000001
mem,motor,0.04749999999999999
mixed,mem,-0.01624999999999998
mixed,motor,0.06749999999999998
motor,mem,-0.004999999999999984
motor,mixed,0.016874999999999973
mem,mixed,-0.005000000000000039
mem,motor,-0.10812500000000001
mixed,mem,0.005000000000000032
mixed,motor,0.029374999999999988
motor,mem,-0.03750000000000005
motor,mixed,-0.06562499999999998
mem,mixed,-0.020000000000000014
mem,motor,0.042499999999999996
mixed,mem,0.004375000000000004
mixed,motor,0.06562499999999998
motor,mem,0.007500000000000014
motor,mixed,0.01749999999999998
mem,mixed,-0.03749999999999999
mem,motor,0.06687500000000002
mixed,mem,0.03500000000000002
mixed,motor,-0.055
motor,mem,-0.01812499999999998
motor,mixed,-0.07125000000000001
mem,mixed,0.008125000000000021
mem,motor,-0.05062500000000002
mixed,mem,-0.041875
mixed,motor,-0.04812500000000003
motor,mem,0.005625000000000005
motor,mixed,0.058124999999999996
mem,mixed,0.03499999999999996
mem,motor,-0.04499999999999999
mixed,mem,-0.04999999999999999
mixed,motor,-0.03687500000000004
motor,mem,0.023124999999999993
motor,mixed,0.04875000000000002
mem,mixed,0.006875000000000011
mem,motor,-0.030625
mixed,mem,0.009375000000000008
mixed,motor,-0.05374999999999997
motor,mem,-0.0375
motor,mixed,0.034375
mem,mixed,0.04312500000000001
mem,motor,-0.04562500000000001
mixed,mem,0.020000000000000007
mixed,motor,0.04187499999999996
motor,mem,0.03875000000000001
motor,mixed,-0.02124999999999999
mem,mixed,-0.0062500000000000056
mem,motor,-0.054374999999999986
mixed,mem,-0.060624999999999964
mixed,motor,-0.035625000000000004
motor,mem,-0.013125000000000005
motor,mixed,0.04625000000000002
mem,mixed,0.06499999999999997
mem,motor,-0.010000000000000009
mixed,mem,-0.05874999999999998
mixed,motor,-0.04812500000000003
motor,mem,0.008124999999999945
motor,mixed,0.033125
mem,mixed,-0.027500000000000004
mem,motor,-0.032500000000000015
mixed,mem,0.026250000000000016
mixed,motor,-0.0050000000000000044
motor,mem,0.012500000000000018
motor,mixed,0.044374999999999984
mem,mixed,0.08437500000000002
mem,motor,0.018125000000000006
mixed,mem,0.06312499999999999
mixed,motor,-0.0037499999999999964
motor,mem,0.028750000000000026
motor,mixed,-0.06000000000000004
mem,mixed,-0.06875000000000003
mem,motor,0.011250000000000013
mixed,mem,-0.05374999999999995
mixed,motor,0.02312500000000002
motor,mem,0.03687499999999997
motor,mixed,-0.004375000000000039
mem,mixed,-0.045000000000000026
mem,motor,-0.015624999999999972
mixed,mem,-0.02187499999999995
mixed,motor,0.05312499999999998
motor,mem,-0.034375
motor,mixed,-0.04250000000000001
mem,mixed,1.0408340855860843e-17
mem,motor,-0.07937499999999997
mixed,mem,0.02249999999999998
mixed,motor,0.043749999999999956
motor,mem,0.09812500000000003
motor,mixed,-0.028750000000000026
mem,mixed,0.0018749999999999878
mem,motor,-0.06312500000000001
mixed,mem,-0.04812499999999997
mixed,motor,-0.02937499999999999
motor,mem,0.06437500000000004
motor,mixed,0.025624999999999974
mem,mixed,-0.01750000000000001
mem,motor,-0.015624999999999993
mixed,mem,-0.0006249999999999728
mixed,motor,0.008750000000000018
motor,mem,-0.06187500000000001
motor,mixed,0.046875000000000014
mem,mixed,-0.04624999999999998
mem,motor,-0.01812499999999998
mixed,mem,-0.02749999999999999
mixed,motor,-0.08374999999999998
motor,mem,-0.0031250000000000028
motor,mixed,0.03750000000000002
mem,mixed,0.01812499999999998
mem,motor,-0.01624999999999998
mixed,mem,0.008125000000000014
mixed,motor,0.06437500000000002
motor,mem,-0.08187500000000002
motor,mixed,0.023124999999999965
mem,mixed,0.028125000000000025
mem,motor,0.01812500000000001
mixed,mem,0.04875000000000001
mixed,motor,0.03437499999999999
motor,mem,-0.04375000000000001
motor,mixed,-0.025625000000000026
mem,mixed,0.07625000000000001
mem,motor,-0.027499999999999976
mixed,mem,0.02562500000000003
mixed,motor,-0.025624999999999995
motor,mem,-0.0024999999999999745
motor,mixed,-0.0031250000000000097
mem,mixed,0.009375000000000012
mem,motor,-0.028750000000000005
