acc,train,test,train_task,test_task
0.9,MSC02,MSC05,mem,motor
0.9,MSC02,MSC05,mem,motor
0.85,MSC02,MSC05,mem,motor
0.9,MSC02,MSC05,mem,motor
0.9,MSC02,MSC05,mem,motor
0.85,MSC02,MSC05,mem,motor
0.95,MSC02,MSC05,mem,motor
0.95,MSC02,MSC05,mem,motor
0.9,MSC02,MSC05,mem,motor
0.85,MSC02,MSC05,mem,motor
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mixed
0.5,MSC02,MSC05,motor,mem
0.5,MSC02,MSC05,motor,mem
0.5,MSC02,MSC05,motor,mem
0.5,MSC02,MSC05,motor,mem
0.5,MSC02,MSC05,motor,mem
0.5,MSC02,MSC05,motor,mem
0.5,MSC02,MSC05,motor,mem
0.5,MSC02,MSC05,motor,mem
0.5,MSC02,MSC05,motor,mem
0.5,MSC02,MSC05,motor,mem
0.6,MSC02,MSC06,mixed,mem
0.5,MSC02,MSC06,mixed,mem
0.55,MSC02,MSC06,mixed,mem
0.55,MSC02,MSC06,mixed,mem
0.55,MSC02,MSC06,mixed,mem
0.6,MSC02,MSC06,mixed,mem
0.55,MSC02,MSC06,mixed,mem
0.55,MSC02,MSC06,mixed,mem
0.55,MSC02,MSC06,mixed,mem
0.55,MSC02,MSC06,mixed,mem
0.65,MSC02,MSC06,mixed,motor
0.5,MSC02,MSC06,mixed,motor
