Network,task,train,diff_sub,feature,mu,std,z_score
co,motor,MSC01,0.7992857142857143,4060,0.9042101449275373,0.021142120727830893,-4.962814846842845
co,motor,MSC02,0.8514285714285714,4060,0.5899057971014499,0.027823520222406722,9.399341716527772
co,motor,MSC03,0.8621428571428571,4060,0.8424420289855071,0.03383935714703778,0.5821868326796668
co,motor,MSC04,0.7992857142857143,4060,0.9558623188405809,0.01582283832818303,-9.895607937545467
co,motor,MSC05,0.7071428571428572,4060,0.7643913043478257,0.038511787412079536,-1.48651753273368
co,motor,MSC06,0.7642857142857143,4060,0.7918385291766589,0.044752810301618005,-0.6156666968006782
co,motor,MSC07,0.6392857142857142,4060,0.8745083932853719,0.032989110671859376,-7.13031282775104
co,motor,MSC10,0.7528571428571429,4060,0.8635797101449276,0.028487825925927853,-3.88666258968579
fp,motor,MSC01,0.5228571428571428,4620,0.9032608695652187,0.02381302194451511,-15.974609505438888
fp,motor,MSC02,0.5,4620,0.5810797101449277,0.026245451077491627,-3.089286212133822
fp,motor,MSC03,0.8321428571428572,4620,0.8447608695652172,0.03559413169954309,-0.35449698643785205
fp,motor,MSC04,0.8471428571428571,4620,0.9605652173913057,0.015454881165308836,-7.338934478709861
fp,motor,MSC05,0.795,4620,0.7670797101449276,0.03772227509774229,0.7401539218599118
fp,motor,MSC06,0.6014285714285714,4620,0.7898081534772183,0.039332917916849036,-4.78936199055679
fp,motor,MSC07,0.6364285714285715,4620,0.8682573940847322,0.027961278727340826,-8.291066546590953
fp,motor,MSC10,0.7564285714285715,4620,0.868036231884058,0.02477141599708841,-4.505501844085324
dan,motor,MSC01,0.6235714285714286,5264,0.90708695652174,0.019819232982525012,-14.305070645281397
dan,motor,MSC02,0.5371428571428571,5264,0.5884782608695658,0.02357596363878132,-2.177446678882062
dan,motor,MSC03,0.8578571428571429,5264,0.840833333333333,0.03277190001699564,0.5194636110503592
dan,motor,MSC04,0.8414285714285714,5264,0.9604782608695666,0.014366829603577078,-8.286427327804732
dan,motor,MSC05,0.7571428571428571,5264,0.759021739130435,0.03513783362628359,-0.053471765150953345
dan,motor,MSC06,0.6221428571428571,5264,0.7973541167066345,0.0375364282792885,-4.66776589024731
dan,motor,MSC07,0.5792857142857143,5264,0.8738369304556354,0.029188973327106477,-10.09118110695537
dan,motor,MSC10,0.6992857142857143,5264,0.867673913043478,0.026161245050389827,-6.436551411579493
visual,motor,MSC01,0.855,8736,0.9094927536231893,0.016813367212751968,-3.2410374991310293
visual,motor,MSC02,0.7471428571428571,8736,0.5778840579710152,0.018047882694971124,9.378318888287343
visual,motor,MSC03,0.6735714285714286,8736,0.8412681159420282,0.024607604115031864,-6.814831975785891
