,train,task,same_sub,diff_sub,Network_A,Network_B
0,MSC10,mem,0.9,0.6181159420289855,sm-lat,sm-lat
0,MSC01,semantic,1.0,0.5214285714285714,auditory,auditory
0,MSC02,semantic,0.85,0.5171428571428571,auditory,auditory
0,MSC03,semantic,0.65,0.5114285714285715,auditory,auditory
0,MSC04,semantic,0.85,0.5164285714285715,auditory,auditory
0,MSC05,semantic,0.8,0.4392857142857143,auditory,auditory
0,MSC06,semantic,0.85,0.5764285714285715,auditory,auditory
0,MSC07,semantic,0.85,0.5657142857142857,auditory,auditory
0,MSC10,semantic,0.65,0.5521428571428572,auditory,auditory
0,MSC01,glass,0.9,0.5784172661870504,auditory,auditory
0,MSC02,glass,0.55,0.5748201438848921,auditory,auditory
0,MSC03,glass,0.75,0.5151079136690647,auditory,auditory
0,MSC04,glass,0.7,0.5589928057553957,auditory,auditory
0,MSC05,glass,0.65,0.5014388489208633,auditory,auditory
0,MSC06,glass,0.5,0.5126984126984127,auditory,auditory
0,MSC07,glass,0.9,0.5273381294964029,auditory,auditory
0,MSC10,glass,0.75,0.5676258992805756,auditory,auditory
0,MSC01,motor,0.9,0.6202898550724638,auditory,auditory
0,MSC02,motor,0.85,0.5217391304347826,auditory,auditory
0,MSC03,motor,0.75,0.5659420289855073,auditory,auditory
0,MSC04,motor,0.85,0.6347826086956522,auditory,auditory
0,MSC05,motor,0.7,0.47391304347826085,auditory,auditory
0,MSC06,motor,0.7777777777777778,0.5811350919264588,auditory,auditory
0,MSC07,motor,0.8888888888888888,0.5651478816946442,auditory,auditory
0,MSC10,motor,0.9,0.5630434782608695,auditory,auditory
0,MSC01,mem,0.95,0.558695652173913,auditory,auditory
0,MSC02,mem,0.9,0.4760869565217391,auditory,auditory
0,MSC03,mem,0.6875,0.5401785714285714,auditory,auditory
0,MSC04,mem,0.7,0.5898550724637681,auditory,auditory
0,MSC05,mem,0.8,0.5333333333333333,auditory,auditory
0,MSC06,mem,0.75,0.5557971014492753,auditory,auditory
0,MSC07,mem,0.85,0.5521739130434783,auditory,auditory
0,MSC10,mem,0.8,0.5492753623188406,auditory,auditory
