sub,train_task,test_task,acc,frames
MSC05,mem,mixed,0.885,65
MSC06,mem,mixed,0.7277777777777779,65
MSC07,mem,mixed,0.7,65
MSC02,mem,mixed,0.51,66
MSC05,mem,mixed,0.9,66
MSC06,mem,mixed,0.7333333333333334,66
MSC07,mem,mixed,0.7500000000000001,66
MSC02,mem,mixed,0.51,66
MSC05,mem,mixed,0.9,66
MSC06,mem,mixed,0.7333333333333334,66
MSC07,mem,mixed,0.7500000000000001,66
MSC02,mem,mixed,0.51,66
MSC05,mem,mixed,0.9,66
MSC06,mem,mixed,0.7333333333333334,66
MSC07,mem,mixed,0.7500000000000001,66
MSC02,mem,mixed,0.51,66
MSC05,mem,mixed,0.9,66
MSC06,mem,mixed,0.7333333333333334,66
MSC07,mem,mixed,0.7500000000000001,66
MSC02,mem,mixed,0.51,66
MSC05,mem,mixed,0.9,66
MSC06,mem,mixed,0.7333333333333334,66
MSC07,mem,mixed,0.7500000000000001,66
MSC02,mem,mixed,0.51,66
MSC05,mem,mixed,0.9,66
MSC06,mem,mixed,0.7333333333333334,66
MSC07,mem,mixed,0.7500000000000001,66
MSC02,mem,mixed,0.51,66
MSC05,mem,mixed,0.9,66
MSC06,mem,mixed,0.7333333333333334,66
MSC07,mem,mixed,0.7500000000000001,66
MSC02,mem,mixed,0.505,67
MSC05,mem,mixed,0.9,67
MSC06,mem,mixed,0.7611111111111111,67
MSC07,mem,mixed,0.775,67
MSC02,mem,mixed,0.505,67
MSC05,mem,mixed,0.9,67
MSC06,mem,mixed,0.7611111111111111,67
MSC07,mem,mixed,0.775,67
MSC02,mem,mixed,0.505,67
MSC05,mem,mixed,0.9,67
MSC06,mem,mixed,0.7611111111111111,67
MSC07,mem,mixed,0.775,67
MSC02,mem,mixed,0.505,67
MSC05,mem,mixed,0.9,67
MSC06,mem,mixed,0.7611111111111111,67
MSC07,mem,mixed,0.775,67
MSC02,mem,mixed,0.505,67
MSC05,mem,mixed,0.9,67
MSC06,mem,mixed,0.7611111111111111,67
MSC07,mem,mixed,0.775,67
MSC02,mem,mixed,0.505,67
MSC05,mem,mixed,0.9,67
MSC06,mem,mixed,0.7611111111111111,67
MSC07,mem,mixed,0.775,67
MSC02,mem,mixed,0.505,67
MSC05,mem,mixed,0.9,67
MSC06,mem,mixed,0.7611111111111111,67
MSC07,mem,mixed,0.775,67
MSC02,mem,mixed,0.505,67
MSC05,mem,mixed,0.9,67
MSC06,mem,mixed,0.7611111111111111,67
MSC07,mem,mixed,0.775,67
MSC02,mem,mixed,0.515,68
MSC05,mem,mixed,0.8950000000000001,68
MSC06,mem,mixed,0.8,68
MSC07,mem,mixed,0.78,68
MSC02,mem,mixed,0.515,68
MSC05,mem,mixed,0.8950000000000001,68
MSC06,mem,mixed,0.8,68
MSC07,mem,mixed,0.78,68
MSC02,mem,mixed,0.515,68
MSC05,mem,mixed,0.8950000000000001,68
MSC06,mem,mixed,0.8,68
MSC07,mem,mixed,0.78,68
MSC02,mem,mixed,0.515,68
MSC05,mem,mixed,0.8950000000000001,68
MSC06,mem,mixed,0.8,68
MSC07,mem,mixed,0.78,68
MSC02,mem,mixed,0.515,68
MSC05,mem,mixed,0.8950000000000001,68
MSC06,mem,mixed,0.8,68
MSC07,mem,mixed,0.78,68
MSC02,mem,mixed,0.515,68
MSC05,mem,mixed,0.8950000000000001,68
MSC06,mem,mixed,0.8,68
MSC07,mem,mixed,0.78,68
MSC02,mem,mixed,0.515,68
MSC05,mem,mixed,0.8950000000000001,68
MSC06,mem,mixed,0.8,68
MSC07,mem,mixed,0.78,68
MSC02,mem,mixed,0.515,68
MSC05,mem,mixed,0.8950000000000001,68
MSC06,mem,mixed,0.8,68
MSC07,mem,mixed,0.78,68
MSC02,mem,mixed,0.525,69
MSC05,mem,mixed,0.89,69
MSC06,mem,mixed,0.8222222222222222,69
MSC07,mem,mixed,0.77,69
MSC02,mem,mixed,0.525,69
MSC05,mem,mixed,0.89,69
MSC06,mem,mixed,0.8222222222222222,69
MSC07,mem,mixed,0.77,69
MSC02,mem,mixed,0.525,69
MSC05,mem,mixed,0.89,69
MSC06,mem,mixed,0.8222222222222222,69
MSC07,mem,mixed,0.77,69
MSC02,mem,mixed,0.525,69
MSC05,mem,mixed,0.89,69
MSC06,mem,mixed,0.8222222222222222,69
MSC07,mem,mixed,0.77,69
MSC02,mem,mixed,0.525,69
MSC05,mem,mixed,0.89,69
MSC06,mem,mixed,0.8222222222222222,69
MSC07,mem,mixed,0.77,69
MSC02,mem,mixed,0.525,69
MSC05,mem,mixed,0.89,69
MSC06,mem,mixed,0.8222222222222222,69
MSC07,mem,mixed,0.77,69
