,train_task,test_task,sub,acc,Features
17,mem,motor,MSC03,0.5499999999999999,200
18,mixed,motor,MSC04,0.845,200
19,mixed,mem,MSC04,0.955,200
20,motor,mixed,MSC04,0.625,200
21,motor,mem,MSC04,0.59,200
22,mem,mixed,MSC04,0.91,200
23,mem,motor,MSC04,0.6900000000000002,200
24,mixed,motor,MSC05,0.8149999999999998,200
25,mixed,mem,MSC05,0.9350000000000002,200
26,motor,mixed,MSC05,0.575,200
27,motor,mem,MSC05,0.7350000000000001,200
28,mem,mixed,MSC05,0.76,200
29,mem,motor,MSC05,0.8499999999999999,200
30,mixed,motor,MSC06,0.8299999999999998,200
31,mixed,mem,MSC06,0.8950000000000001,200
32,motor,mixed,MSC06,0.5449999999999999,200
33,motor,mem,MSC06,0.6950000000000001,200
34,mem,mixed,MSC06,0.655,200
35,mem,motor,MSC06,0.72,200
36,mixed,motor,MSC07,0.8699999999999999,200
37,mixed,mem,MSC07,0.935,200
38,motor,mixed,MSC07,0.53,200
39,motor,mem,MSC07,0.5,200
40,mem,mixed,MSC07,0.7200000000000001,200
41,mem,motor,MSC07,0.7899999999999999,200
42,mixed,motor,MSC10,0.875,200
43,mixed,mem,MSC10,0.8049999999999999,200
44,motor,mixed,MSC10,0.5549999999999999,200
45,motor,mem,MSC10,0.5449999999999999,200
46,mem,mixed,MSC10,0.8550000000000001,200
47,mem,motor,MSC10,0.92,200
0,mixed,motor,MSC01,0.995,300
1,mixed,mem,MSC01,0.95,300
2,motor,mixed,MSC01,0.9200000000000002,300
3,motor,mem,MSC01,0.74,300
4,mem,mixed,MSC01,0.95,300
5,mem,motor,MSC01,1.0,300
6,mixed,motor,MSC02,0.8099999999999999,300
7,mixed,mem,MSC02,0.885,300
8,motor,mixed,MSC02,0.5,300
9,motor,mem,MSC02,0.5,300
10,mem,mixed,MSC02,0.8150000000000001,300
11,mem,motor,MSC02,0.835,300
12,mixed,motor,MSC03,1.0,300
13,mixed,mem,MSC03,0.7649999999999999,300
14,motor,mixed,MSC03,0.5700000000000001,300
15,motor,mem,MSC03,0.5899999999999999,300
16,mem,mixed,MSC03,0.655,300
17,mem,motor,MSC03,0.905,300
18,mixed,motor,MSC04,0.95,300
19,mixed,mem,MSC04,1.0,300
20,motor,mixed,MSC04,0.6950000000000001,300
21,motor,mem,MSC04,0.7200000000000001,300
22,mem,mixed,MSC04,0.91,300
23,mem,motor,MSC04,0.825,300
24,mixed,motor,MSC05,0.945,300
25,mixed,mem,MSC05,1.0,300
26,motor,mixed,MSC05,0.565,300
27,motor,mem,MSC05,0.78,300
28,mem,mixed,MSC05,0.845,300
29,mem,motor,MSC05,0.9200000000000002,300
30,mixed,motor,MSC06,0.95,300
31,mixed,mem,MSC06,0.9549999999999998,300
32,motor,mixed,MSC06,0.665,300
33,motor,mem,MSC06,0.835,300
34,mem,mixed,MSC06,0.8249999999999998,300
35,mem,motor,MSC06,0.97,300
36,mixed,motor,MSC07,0.8,300
37,mixed,mem,MSC07,0.8499999999999999,300
38,motor,mixed,MSC07,0.525,300
39,motor,mem,MSC07,0.5,300
40,mem,mixed,MSC07,0.835,300
41,mem,motor,MSC07,0.8249999999999998,300
42,mixed,motor,MSC10,0.91,300
43,mixed,mem,MSC10,0.96,300
44,motor,mixed,MSC10,0.63,300
45,motor,mem,MSC10,0.735,300
46,mem,mixed,MSC10,0.86,300
47,mem,motor,MSC10,0.8049999999999999,300
0,mixed,motor,MSC01,0.945,400
1,mixed,mem,MSC01,0.8700000000000001,400
2,motor,mixed,MSC01,0.75,400
3,motor,mem,MSC01,0.6199999999999999,400
4,mem,mixed,MSC01,0.905,400
5,mem,motor,MSC01,0.875,400
6,mixed,motor,MSC02,0.8150000000000001,400
7,mixed,mem,MSC02,0.7499999999999999,400
8,motor,mixed,MSC02,0.5499999999999999,400
