train_task,test_task,train_sub,test_sub,acc,spec,sen
motor,semantic,MSC05,MSC04,0.5499999999999999,1.0,0.09999999999999999
motor,mem,MSC05,MSC04,0.5,1.0,0.0
mem,glass,MSC05,MSC04,0.8799999999999999,0.9800000000000001,0.78
mem,semantic,MSC05,MSC04,0.73,0.9800000000000001,0.48
mem,motor,MSC05,MSC04,0.9,0.9800000000000001,0.82
glass,semantic,MSC05,MSC06,0.5,1.0,0.0
glass,motor,MSC05,MSC06,0.565,1.0,0.13000000000000003
glass,mem,MSC05,MSC06,0.5,1.0,0.0
semantic,glass,MSC05,MSC06,0.5499999999999999,1.0,0.10000000000000002
semantic,motor,MSC05,MSC06,0.605,1.0,0.21000000000000002
semantic,mem,MSC05,MSC06,0.53,1.0,0.06
motor,glass,MSC05,MSC06,0.5555555555555555,1.0,0.11111111111111113
motor,semantic,MSC05,MSC06,0.505,1.0,0.01
motor,mem,MSC05,MSC06,0.5,1.0,0.0
mem,glass,MSC05,MSC06,0.7444444444444445,1.0,0.48888888888888893
mem,semantic,MSC05,MSC06,0.82,1.0,0.64
mem,motor,MSC05,MSC06,0.89,1.0,0.78
glass,semantic,MSC05,MSC07,0.525,1.0,0.05
glass,motor,MSC05,MSC07,0.5549999999999999,1.0,0.11000000000000001
glass,mem,MSC05,MSC07,0.5,1.0,0.0
semantic,glass,MSC05,MSC07,0.575,1.0,0.15000000000000002
semantic,motor,MSC05,MSC07,0.775,1.0,0.55
semantic,mem,MSC05,MSC07,0.515,1.0,0.030000000000000006
motor,glass,MSC05,MSC07,0.5399999999999999,0.9800000000000001,0.09999999999999999
motor,semantic,MSC05,MSC07,0.51,0.9800000000000001,0.04
motor,mem,MSC05,MSC07,0.52,0.9800000000000001,0.06
mem,glass,MSC05,MSC07,0.8150000000000001,0.9100000000000001,0.72
mem,semantic,MSC05,MSC07,0.8049999999999999,0.9100000000000001,0.7000000000000001
mem,motor,MSC05,MSC07,0.915,0.9100000000000001,0.9199999999999999
glass,semantic,MSC05,MSC10,0.5399999999999999,1.0,0.07999999999999999
glass,motor,MSC05,MSC10,0.545,1.0,0.09
glass,mem,MSC05,MSC10,0.5,1.0,0.0
semantic,glass,MSC05,MSC10,0.5499999999999999,1.0,0.09999999999999999
semantic,motor,MSC05,MSC10,0.59,1.0,0.18
semantic,mem,MSC05,MSC10,0.51,1.0,0.02
motor,glass,MSC05,MSC10,0.505,1.0,0.01
motor,semantic,MSC05,MSC10,0.51,1.0,0.02
motor,mem,MSC05,MSC10,0.505,1.0,0.01
mem,glass,MSC05,MSC10,0.8900000000000002,0.9000000000000001,0.8800000000000001
mem,semantic,MSC05,MSC10,0.7699999999999999,0.9000000000000001,0.6399999999999999
