train_task,test_task,sub,acc,features
semantic,mem,MSC04,0.845,11766
glass,semantic,MSC04,0.9850000000000001,11766
glass,motor,MSC04,0.905,11766
glass,mem,MSC04,0.945,11766
motor,semantic,MSC04,0.6199999999999999,11766
motor,glass,MSC04,0.99,11766
motor,mem,MSC04,0.7899999999999999,11766
mem,semantic,MSC04,0.95,11766
mem,glass,MSC04,0.9549999999999998,11766
mem,motor,MSC04,0.9399999999999998,11766
semantic,glass,MSC05,0.8950000000000001,11766
semantic,motor,MSC05,0.7100000000000002,11766
semantic,mem,MSC05,0.875,11766
glass,semantic,MSC05,0.975,11766
glass,motor,MSC05,0.875,11766
glass,mem,MSC05,0.9250000000000002,11766
motor,semantic,MSC05,0.7150000000000001,11766
motor,glass,MSC05,0.7449999999999999,11766
motor,mem,MSC05,0.9949999999999999,11766
mem,semantic,MSC05,0.905,11766
mem,glass,MSC05,0.95,11766
mem,motor,MSC05,1.0,11766
semantic,glass,MSC06,0.7722222222222221,11766
semantic,motor,MSC06,0.8400000000000001,11766
semantic,mem,MSC06,0.8800000000000001,11766
glass,semantic,MSC06,0.9111111111111112,11766
glass,motor,MSC06,0.7611111111111112,11766
glass,mem,MSC06,0.9055555555555556,11766
motor,semantic,MSC06,0.74,11766
motor,glass,MSC06,0.5388888888888889,11766
motor,mem,MSC06,0.9100000000000001,11766
mem,semantic,MSC06,0.97,11766
mem,glass,MSC06,0.8333333333333333,11766
mem,motor,MSC06,0.925,11766
semantic,glass,MSC07,0.9400000000000001,11766
semantic,motor,MSC07,0.57,11766
semantic,mem,MSC07,0.67,11766
glass,semantic,MSC07,0.9949999999999999,11766
glass,motor,MSC07,0.7150000000000001,11766
glass,mem,MSC07,0.7899999999999999,11766
motor,semantic,MSC07,0.5499999999999999,11766
motor,glass,MSC07,0.5199999999999999,11766
motor,mem,MSC07,0.53,11766
mem,semantic,MSC07,0.9850000000000001,11766
mem,glass,MSC07,0.9949999999999999,11766
mem,motor,MSC07,0.9850000000000001,11766
semantic,glass,MSC10,0.85,11766
semantic,motor,MSC10,0.6799999999999999,11766
semantic,mem,MSC10,0.905,11766
glass,semantic,MSC10,0.9199999999999999,11766
glass,motor,MSC10,0.905,11766
glass,mem,MSC10,0.8850000000000001,11766
motor,semantic,MSC10,0.685,11766
motor,glass,MSC10,0.6600000000000001,11766
motor,mem,MSC10,0.6900000000000002,11766
mem,semantic,MSC10,0.8850000000000001,11766
mem,glass,MSC10,0.8950000000000001,11766
mem,motor,MSC10,0.9399999999999998,11766
semantic,glass,MSC01,0.8800000000000001,32489
semantic,motor,MSC01,0.76,32489
semantic,mem,MSC01,0.7150000000000001,32489
glass,semantic,MSC01,0.945,32489
glass,motor,MSC01,0.9349999999999999,32489
glass,mem,MSC01,0.845,32489
motor,semantic,MSC01,0.915,32489
motor,glass,MSC01,0.9049999999999999,32489
motor,mem,MSC01,0.6750000000000002,32489
mem,semantic,MSC01,1.0,32489
mem,glass,MSC01,0.9550000000000001,32489
mem,motor,MSC01,1.0,32489
semantic,glass,MSC02,0.685,32489
semantic,motor,MSC02,0.4600000000000001,32489
semantic,mem,MSC02,0.51,32489
glass,semantic,MSC02,0.9149999999999998,32489
glass,motor,MSC02,0.635,32489
glass,mem,MSC02,0.6399999999999999,32489
motor,semantic,MSC02,0.5,32489
motor,glass,MSC02,0.505,32489
motor,mem,MSC02,0.5,32489
mem,semantic,MSC02,0.9050000000000002,32489
mem,glass,MSC02,0.7949999999999999,32489
mem,motor,MSC02,0.6800000000000002,32489
semantic,glass,MSC03,0.75,32489
semantic,motor,MSC03,0.8149999999999998,32489
semantic,mem,MSC03,0.7000000000000001,32489
glass,semantic,MSC03,0.8099999999999999,32489
glass,motor,MSC03,0.9550000000000001,32489
glass,mem,MSC03,0.675,32489
motor,semantic,MSC03,0.675,32489
motor,glass,MSC03,0.665,32489
motor,mem,MSC03,0.6700000000000002,32489
mem,semantic,MSC03,0.8149999999999998,32489
mem,glass,MSC03,0.575,32489
mem,motor,MSC03,0.9349999999999999,32489
semantic,glass,MSC04,0.7849999999999999,32489
semantic,motor,MSC04,0.6900000000000001,32489
semantic,mem,MSC04,0.74,32489
glass,semantic,MSC04,0.9800000000000001,32489
glass,motor,MSC04,0.905,32489
glass,mem,MSC04,0.9400000000000001,32489
motor,semantic,MSC04,0.655,32489
motor,glass,MSC04,0.9349999999999999,32489
motor,mem,MSC04,0.625,32489
mem,semantic,MSC04,0.975,32489
mem,glass,MSC04,1.0,32489
mem,motor,MSC04,0.905,32489
semantic,glass,MSC05,0.8800000000000002,32489
semantic,motor,MSC05,0.82,32489
semantic,mem,MSC05,0.9899999999999999,32489
glass,semantic,MSC05,0.95,32489
glass,motor,MSC05,0.9000000000000001,32489
glass,mem,MSC05,0.9650000000000001,32489
motor,semantic,MSC05,0.67,32489
motor,glass,MSC05,0.7649999999999999,32489
motor,mem,MSC05,0.885,32489
mem,semantic,MSC05,0.93,32489
mem,glass,MSC05,0.9349999999999999,32489
mem,motor,MSC05,1.0,32489
