,train_sub,Analysis,acc,Network_A,Network_B
0,MSC01,Same Subject,0.9732142857142857,visual,dan
1,MSC02,Same Subject,0.9535714285714285,visual,dan
2,MSC03,Same Subject,0.9410714285714287,visual,dan
3,MSC04,Same Subject,0.9392857142857143,visual,dan
4,MSC05,Same Subject,0.9428571428571428,visual,dan
5,MSC06,Same Subject,0.9249999999999999,visual,dan
6,MSC07,Same Subject,0.9357142857142857,visual,dan
7,MSC10,Same Subject,0.8821428571428572,visual,dan
8,MSC01,Different Subject,0.5166326530612244,visual,dan
9,MSC02,Different Subject,0.6124999999999998,visual,dan
10,MSC03,Different Subject,0.6699999999999999,visual,dan
11,MSC04,Different Subject,0.5090816326530613,visual,dan
12,MSC05,Different Subject,0.577908163265306,visual,dan
13,MSC06,Different Subject,0.6480102040816327,visual,dan
14,MSC07,Different Subject,0.5657142857142857,visual,dan
15,MSC10,Different Subject,0.5230102040816327,visual,dan
0,MSC01,Same Subject,0.9285714285714286,visual,van
1,MSC02,Same Subject,0.8821428571428572,visual,van
2,MSC03,Same Subject,0.8714285714285716,visual,van
3,MSC04,Same Subject,0.9249999999999999,visual,van
4,MSC05,Same Subject,0.9696428571428571,visual,van
5,MSC06,Same Subject,0.9375000000000001,visual,van
6,MSC07,Same Subject,0.8892857142857143,visual,van
7,MSC10,Same Subject,0.7321428571428571,visual,van
8,MSC01,Different Subject,0.6078061224489796,visual,van
9,MSC02,Different Subject,0.5946428571428571,visual,van
10,MSC03,Different Subject,0.6036734693877551,visual,van
11,MSC04,Different Subject,0.5703061224489796,visual,van
12,MSC05,Different Subject,0.5839285714285715,visual,van
13,MSC06,Different Subject,0.6695408163265306,visual,van
14,MSC07,Different Subject,0.6340816326530613,visual,van
15,MSC10,Different Subject,0.5336224489795918,visual,van
0,MSC01,Same Subject,0.8410714285714286,visual,salience
1,MSC02,Same Subject,0.7446428571428572,visual,salience
2,MSC03,Same Subject,0.8910714285714286,visual,salience
3,MSC04,Same Subject,0.8464285714285714,visual,salience
4,MSC05,Same Subject,0.9267857142857142,visual,salience
5,MSC06,Same Subject,0.7017857142857142,visual,salience
6,MSC07,Same Subject,0.8285714285714285,visual,salience
7,MSC10,Same Subject,0.7750000000000001,visual,salience
8,MSC01,Different Subject,0.563469387755102,visual,salience
9,MSC02,Different Subject,0.6015306122448979,visual,salience
10,MSC03,Different Subject,0.5730102040816326,visual,salience
11,MSC04,Different Subject,0.5408673469387756,visual,salience
12,MSC05,Different Subject,0.5482142857142857,visual,salience
13,MSC06,Different Subject,0.5723469387755101,visual,salience
14,MSC07,Different Subject,0.6103571428571428,visual,salience
15,MSC10,Different Subject,0.5953571428571429,visual,salience
0,MSC01,Same Subject,0.9500000000000001,visual,co
1,MSC02,Same Subject,0.8875,visual,co
2,MSC03,Same Subject,0.9249999999999999,visual,co
3,MSC04,Same Subject,0.9321428571428572,visual,co
4,MSC05,Same Subject,0.9625000000000001,visual,co
5,MSC06,Same Subject,0.9357142857142858,visual,co
6,MSC07,Same Subject,0.8785714285714284,visual,co
7,MSC10,Same Subject,0.8035714285714286,visual,co
8,MSC01,Different Subject,0.5514285714285714,visual,co
9,MSC02,Different Subject,0.6215816326530612,visual,co
10,MSC03,Different Subject,0.7261224489795918,visual,co
11,MSC04,Different Subject,0.6197448979591835,visual,co
12,MSC05,Different Subject,0.6579591836734694,visual,co
13,MSC06,Different Subject,0.6688775510204081,visual,co
14,MSC07,Different Subject,0.6232142857142857,visual,co
15,MSC10,Different Subject,0.5756632653061224,visual,co
0,MSC01,Same Subject,0.9125,visual,sm
1,MSC02,Same Subject,0.932142857142857,visual,sm
2,MSC03,Same Subject,0.8732142857142858,visual,sm
3,MSC04,Same Subject,0.9107142857142858,visual,sm
4,MSC05,Same Subject,0.9625,visual,sm
5,MSC06,Same Subject,0.8321428571428572,visual,sm
6,MSC07,Same Subject,0.8660714285714286,visual,sm
7,MSC10,Same Subject,0.8125,visual,sm
8,MSC01,Different Subject,0.5516836734693878,visual,sm
9,MSC02,Different Subject,0.6107653061224491,visual,sm
10,MSC03,Different Subject,0.5746428571428571,visual,sm
11,MSC04,Different Subject,0.5689285714285715,visual,sm
12,MSC05,Different Subject,0.5225000000000001,visual,sm
13,MSC06,Different Subject,0.5598979591836735,visual,sm
14,MSC07,Different Subject,0.6164285714285714,visual,sm
15,MSC10,Different Subject,0.5686224489795918,visual,sm
0,MSC01,Same Subject,0.8785714285714287,visual,sm-lat
1,MSC02,Same Subject,0.8642857142857142,visual,sm-lat
2,MSC03,Same Subject,0.7910714285714286,visual,sm-lat
3,MSC04,Same Subject,0.8107142857142858,visual,sm-lat
4,MSC05,Same Subject,0.8482142857142857,visual,sm-lat
5,MSC06,Same Subject,0.7160714285714285,visual,sm-lat
6,MSC07,Same Subject,0.7839285714285715,visual,sm-lat
7,MSC10,Same Subject,0.8357142857142856,visual,sm-lat
8,MSC01,Different Subject,0.6160714285714286,visual,sm-lat
9,MSC02,Different Subject,0.6254081632653062,visual,sm-lat
10,MSC03,Different Subject,0.5773979591836734,visual,sm-lat
11,MSC04,Different Subject,0.5803571428571429,visual,sm-lat
12,MSC05,Different Subject,0.5677551020408164,visual,sm-lat
13,MSC06,Different Subject,0.5770918367346939,visual,sm-lat
14,MSC07,Different Subject,0.5837755102040817,visual,sm-lat
15,MSC10,Different Subject,0.6208163265306123,visual,sm-lat
0,MSC01,Same Subject,0.8089285714285713,visual,auditory
1,MSC02,Same Subject,0.8821428571428572,visual,auditory
2,MSC03,Same Subject,0.9142857142857144,visual,auditory
3,MSC04,Same Subject,0.8107142857142857,visual,auditory
4,MSC05,Same Subject,0.8857142857142858,visual,auditory
5,MSC06,Same Subject,0.8232142857142858,visual,auditory
6,MSC07,Same Subject,0.8589285714285714,visual,auditory
7,MSC10,Same Subject,0.7232142857142857,visual,auditory
8,MSC01,Different Subject,0.604438775510204,visual,auditory
9,MSC02,Different Subject,0.628469387755102,visual,auditory
10,MSC03,Different Subject,0.5863265306122448,visual,auditory
11,MSC04,Different Subject,0.6045918367346939,visual,auditory
12,MSC05,Different Subject,0.5627551020408162,visual,auditory
13,MSC06,Different Subject,0.6063265306122448,visual,auditory
14,MSC07,Different Subject,0.6689795918367347,visual,auditory
