sub,task,acc,features
MSC05,mem,1.0,136
MSC06,semantic,0.9,136
MSC06,glass,0.7777777777777778,136
MSC06,motor,1.0,136
MSC06,mem,0.85,136
MSC07,semantic,0.95,136
MSC07,glass,0.85,136
MSC07,motor,0.8,136
MSC07,mem,0.95,136
MSC10,semantic,0.85,136
MSC10,glass,0.8,136
MSC10,motor,1.0,136
MSC10,mem,0.95,136
MSC01,semantic,0.95,91
MSC01,glass,0.95,91
MSC01,motor,0.95,91
MSC01,mem,1.0,91
MSC02,semantic,0.9,91
MSC02,glass,0.7,91
MSC02,motor,0.9,91
MSC02,mem,0.9,91
MSC03,semantic,0.85,91
MSC03,glass,0.75,91
MSC03,motor,1.0,91
MSC03,mem,0.9,91
MSC04,semantic,0.95,91
MSC04,glass,0.9,91
MSC04,motor,0.95,91
MSC04,mem,1.0,91
MSC05,semantic,0.95,91
MSC05,glass,0.95,91
MSC05,motor,1.0,91
MSC05,mem,1.0,91
MSC06,semantic,0.9,91
MSC06,glass,0.6296296296296295,91
MSC06,motor,0.9,91
MSC06,mem,0.95,91
MSC07,semantic,0.9,91
MSC07,glass,0.85,91
MSC07,motor,0.9,91
MSC07,mem,0.95,91
MSC10,semantic,0.85,91
MSC10,glass,0.7,91
MSC10,motor,0.9,91
MSC10,mem,0.95,91
MSC01,semantic,0.85,62
MSC01,glass,0.95,62
MSC01,motor,0.95,62
MSC01,mem,1.0,62
MSC02,semantic,0.9,62
MSC02,glass,0.6,62
MSC02,motor,0.9,62
MSC02,mem,0.95,62
MSC03,semantic,0.85,62
MSC03,glass,0.8,62
MSC03,motor,0.85,62
MSC03,mem,0.85,62
MSC04,semantic,0.95,62
MSC04,glass,0.95,62
MSC04,motor,0.95,62
MSC04,mem,0.8,62
MSC05,semantic,0.9,62
MSC05,glass,0.85,62
MSC05,motor,0.85,62
MSC05,mem,1.0,62
MSC06,semantic,0.8,62
MSC06,glass,0.9444444444444444,62
MSC06,motor,1.0,62
MSC06,mem,0.95,62
MSC07,semantic,0.95,62
MSC07,glass,0.8,62
MSC07,motor,0.9,62
MSC07,mem,0.95,62
MSC10,semantic,0.7,62
MSC10,glass,0.75,62
MSC10,motor,0.95,62
MSC10,mem,0.9,62
MSC01,semantic,0.85,129
MSC01,glass,0.85,129
MSC01,motor,1.0,129
MSC01,mem,0.9,129
MSC02,semantic,0.95,129
MSC02,glass,0.7,129
MSC02,motor,0.85,129
MSC02,mem,0.9,129
MSC03,semantic,0.85,129
MSC03,glass,0.75,129
MSC03,motor,1.0,129
MSC03,mem,0.8,129
MSC04,semantic,0.9,129
MSC04,glass,0.9,129
MSC04,motor,0.9,129
MSC04,mem,0.95,129
MSC05,semantic,0.95,129
MSC05,glass,0.95,129
MSC05,motor,0.95,129
MSC05,mem,1.0,129
MSC06,semantic,0.9,129
MSC06,glass,0.6666666666666666,129
MSC06,motor,0.95,129
MSC06,mem,1.0,129
MSC07,semantic,0.8,129
MSC07,glass,0.8,129
MSC07,motor,1.0,129
MSC07,mem,0.9,129
MSC10,semantic,0.75,129
MSC10,glass,0.8,129
MSC10,motor,0.95,129
MSC10,mem,0.9,129
MSC01,semantic,0.85,125
MSC01,glass,0.8,125
MSC01,motor,1.0,125
MSC01,mem,0.95,125
MSC02,semantic,0.75,125
MSC02,glass,0.8,125
MSC02,motor,0.9,125
